lng	lat	class
114.360735	30.527695	infoPlayground
114.361931	30.527695	infoPlayground
114.361287	30.526771	infoPlayground
114.36126	30.528522	infoPlayground
114.359007	30.527616	starLake
114.360139	30.527616	starLake
114.35897	30.526812	starLake
114.360112	30.526803	starLake
114.359372	30.527914	stuDorm6
114.360246	30.527938	stuDorm2
114.360901	30.529236	infoLib
114.360885	30.528931	infoLib
114.361845	30.529282	infoLib
114.361861	30.528922	infoLib
114.362682	30.527933	tennisGround
114.362875	30.527933	tennisGround
114.362762	30.52815	tennisGround
114.362215	30.528386	basketballGround
114.362478	30.528372	basketballGround
114.362671	30.528381	basketballGround
114.36214	30.527845	basketballGround
114.362151	30.527462	basketballGround
114.362226	30.528108	volleyballGround
114.362226	30.528108	volleyballGround
114.362473	30.52772	infoGym
114.362306	30.527092	infoStuCenter
114.360767	30.526685	infoTeachingBuilding1
114.360767	30.526426	infoTeachingBuilding1
114.361888	30.526634	infoTeachingBuilding1
114.361866	30.526431	infoTeachingBuilding1
114.360316	30.526514	infoTeachingBuilding3
114.362376	30.526533	infoTeachingBuilding2
114.362317	30.526011	infoTeachingBuilding4
114.360563	30.526006	infoTeachingBuilding5
114.359919	30.525992	infoTeachingBuilding5
114.360289	30.525502	infoTeachingBuilding7
114.362226	30.525525	teachingExperimentBuilding
114.362242	30.525202	southPoleCenter
114.36133	30.525387	friendshipSquare
114.357956	30.526135	stuDorm9
114.358578	30.52614	stuDorm9
114.35883	30.526154	stuDorm8
114.359511	30.526191	stuDorm8
114.358814	30.526542	stuDorm7
114.359511	30.526524	stuDorm7
114.357875	30.526524	stuDorm10
114.358557	30.526547	stuDorm10
114.359501	30.526306	luojiaStore
114.359925	30.527919	luojiaStore
114.358047	30.527559	infoCanteen2
114.358133	30.527013	infoCanteen2
114.358857	30.527614	infoCanteen2
114.358857	30.526981	infoCanteen2
114.357671	30.527512	internationalStuResidency
114.357661	30.527152	internationalStuResidency
114.359034	30.528547	infoCanteen1
114.359603	30.528543	infoCanteen1
114.359066	30.528159	infoCanteen1
114.359624	30.528145	infoCanteen1
114.357891	30.527087	grocery
114.357865	30.527207	grocery
114.357838	30.527466	grocery
114.357768	30.527596	grocery
114.358841	30.528261	grocery
114.358846	30.527998	printStore
114.360445	30.527355	nationalKeyLabGEO
114.360423	30.526879	nationalKeyLabGEO


